caseno,year,adhoc_votes_any,adhoc_votes_n,adhoc_against_n,adhoc_favour_n,adhoc_votes_seq
1,1949,1,1,0,0,unknown
5,1951,0,0,0,0,
7,1950,1,1,0,0,unknown
11,1952,0,0,0,0,
13,1950,1,1,0,0,unknown
14,1951,0,0,0,0,
15,1952,1,1,0,0,unknown
16,1952,0,0,0,0,
17,1953,0,0,0,0,
18,1955,1,1,0,0,unknown
19,1954,0,0,0,0,
29,1957,0,0,0,0,
32,1957,1,2,0,0,"unknown,unknown"
33,1958,1,1,0,0,unknown
34,1959,1,1,0,0,unknown
35,1959,0,0,0,0,
38,1959,0,0,0,0,
39,1960,0,0,0,0,
45,1962,0,0,0,0,
46,1962,1,2,0,0,"unknown,unknown"
47,1962,1,2,0,0,"unknown,unknown"
48,1963,1,1,0,0,unknown
50,1964,1,1,0,0,unknown
51,1969,1,1,0,0,unknown
52,1969,1,1,0,0,unknown
54,1972,0,0,0,0,
55,1974,0,0,0,0,
56,1974,0,0,0,0,
58,1974,1,1,0,0,unknown
59,1974,1,1,0,0,unknown
62,1978,1,1,0,0,unknown
63,1982,1,4,3,1,"favour,against,against,against"
64,1980,0,0,0,0,
67,1984,1,1,0,1,favour
68,1985,1,3,2,1,"favour,against,against"
69,1986,1,1,0,0,unknown
70,1986,1,14,0,14,"favour,favour,favour,favour,favour,favour,favour,favour,favour,favour,favour,favour,favour,favour"
71,1985,1,1,0,0,unknown
74,1988,0,0,0,0,
75,1990,0,0,0,0,
76,1989,0,0,0,0,
78,1993,0,0,0,0,
80,1992,0,0,0,0,
82,1991,1,6,4,2,"favour,against,favour,against,against,against"
83,1994,0,0,0,0,
84,1995,1,3,2,1,"favour,against,against"
87,2001,1,10,6,4,"favour,against,favour,against,favour,against,favour,against,against,against"
88,1998,1,11,6,5,"favour,against,favour,against,favour,against,favour,against,favour,against,against"
89,1998,1,4,0,4,"favour,favour,favour,favour"
90,1996,1,3,1,2,"favour,favour,against"
91,2007,1,20,11,9,"favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,against,against"
92,1997,1,10,2,8,"favour,favour,against,favour,favour,favour,favour,favour,favour,against"
94,1998,1,20,10,10,"favour,against,favour,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,against"
96,1998,1,3,2,1,"favour,against,against"
98,1999,0,0,0,0,
101,1999,1,3,2,1,"favour,against,against"
102,2001,0,0,0,0,
103,2010,1,9,8,0,"unknown,against,against,against,against,against,against,against,against"
104,2001,0,0,0,0,
105,2004,1,1,0,0,unknown
106,2004,1,1,0,0,unknown
107,2004,1,1,0,0,unknown
108,2004,1,1,0,0,unknown
109,2004,1,1,0,0,unknown
110,2004,1,1,0,0,unknown
111,2004,1,1,0,0,unknown
113,2004,1,1,0,0,unknown
116,2022,1,5,5,0,"against,against,against,against,against"
118,2008,1,12,7,5,"favour,against,favour,against,favour,against,favour,against,favour,against,against,against"
119,2000,1,4,3,1,"favour,against,against,against"
120,2007,1,7,4,3,"favour,against,favour,against,favour,against,against"
121,2002,1,10,4,6,"favour,favour,favour,favour,favour,against,favour,against,against,against"
122,2003,1,4,3,1,"favour,against,against,against"
123,2005,1,6,5,1,"favour,against,against,against,against,against"
124,2007,1,4,1,3,"favour,favour,favour,against"
125,2005,1,7,4,3,"favour,against,favour,against,favour,against,against"
126,2006,1,4,3,1,"favour,against,against,against"
127,2003,1,3,2,1,"favour,against,against"
128,2004,1,8,2,6,"against,favour,favour,favour,favour,favour,favour,against"
130,2008,1,7,4,3,"favour,against,favour,against,favour,against,against"
132,2009,0,0,0,0,
133,2009,1,6,5,1,"against,against,against,favour,against,against"
135,2010,1,6,5,0,"unknown,against,against,against,against,against"
136,2008,1,9,5,4,"favour,favour,against,favour,against,favour,against,against,against"
137,2014,1,11,6,5,"favour,favour,favour,against,favour,against,favour,against,against,against,against"
139,2009,0,0,0,0,
140,2011,1,4,3,1,"favour,against,against,against"
142,2011,1,8,5,3,"favour,against,favour,against,favour,against,against,against"
143,2012,1,5,2,3,"against,favour,favour,favour,against"
144,2012,1,8,4,4,"favour,against,favour,against,favour,favour,against,against"
148,2014,1,7,2,5,"favour,favour,favour,favour,against,favour,against"
149,2013,1,1,0,0,unknown
150,2015,1,9,6,3,"favour,against,favour,against,favour,against,against,against,against"
151,2013,1,1,0,0,unknown
152,2015,1,9,6,3,"favour,against,favour,against,favour,against,against,against,against"
153,2015,1,5,3,2,"favour,against,favour,against,against"
154,2023,1,7,4,3,"favour,against,favour,against,favour,against,against"
155,2022,1,17,9,8,"favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,against"
157,2018,1,7,4,3,"favour,favour,against,favour,against,against,against"
158,2016,1,3,3,0,"against,against,against"
159,2016,1,3,3,0,"against,against,against"
160,2016,1,3,3,0,"against,against,against"
161,2021,1,3,1,2,"favour,favour,against"
162,2022,1,7,1,6,"favour,favour,favour,favour,favour,favour,against"
163,2020,1,4,4,0,"against,against,against,against"
164,2023,1,17,9,8,"favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,favour,against,against"
165,2018,1,7,4,3,"favour,favour,against,favour,against,against,against"
166,2019,1,10,6,4,"favour,against,favour,against,favour,against,favour,against,against,against"
168,2019,0,0,0,0,
171,2020,1,1,0,1,favour
172,2021,1,3,1,2,"favour,favour,against"
173,2020,0,0,0,0,
174,2020,0,0,0,0,
175,2021,1,7,4,3,"favour,against,favour,against,favour,against,against"
178,2022,1,3,1,2,"favour,favour,against"
