caseno,shortname,applicant,respondent,year,doc_date,doc_id,votes,unanimous,outcome,outcome_src,app_loss,resp_loss,ad_hoc_present,ad_hoc_name,ad_hoc_party,ad_hoc_for_applicant,ad_hoc_for_respondent,evidence,operative_short
1,CorfuChannel,GBR,ALB,1949,1949-04-09,ICJ_001_CorfuChannel_GBR_ALB_1949-04-09_JUD_01_ME_00_EN.txt,11-5;10-6;14-2,True,applicant_win,auto,1.0,1.5,1,M. DAXNER;M. ECER;ECER,respondent,0,1,RESP_LOSS(ALB): s Republic of Albania is responsible under international law for | APP_LOSS(GBR): the United Kingdom violated the sovereignty | RESP_WEAK(GBR won a point),"FOR THESE REASONS, THE COURT, on the first question put by the Special Agreement of March 25th, 1948, by eleven votes to five, Gives judgment that the People’s Republic of Albania …"
5,Fisheries,GBR,NOR,1951,1951-12-18,ICJ_005_Fisheries_GBR_NOR_1951-12-18_JUD_01_ME_00_EN.txt,10-2;8-4,False,respondent_win,manual,0.0,0.0,0,,unknown,0,0,,"For these reasons, THE COURT, rejecting all submissions to the contrary, Finds by ten votes to two, that the method employed for the delimitation of the fisheries zone by the Royal…"
7,Asylum,COL,PER,1950,1950-11-20,ICJ_007_Asylum_COL_PER_1950-11-20_JUD_01_ME_00_EN.txt,14-2;10-6,False,applicant_win,auto,0.0,1.0,1,(в тексте),both,1,1,RESP_LOSS(PER): Rejects the second submission ; on the counter-claim of the Government of Peru,"FOR THESE REASONS, THE COURT, on the submissions of the Government of Colombia, by fourteen votes to two, Rejects the first submission in so far as it involves a right for Colombia…"
11,USNationalsMorocco,FRA,USA,1952,1952-08-27,ICJ_011_USNationalsMorocco_FRA_USA_1952-08-27_JUD_01_ME_00_EN.txt,6-5;6-5;7-4;6-5,True,applicant_win,auto,0.0,2.0,0,,unknown,0,0,RESP_LOSS(USA): Rejects the Submissions of the United States of America relating to exemption fr | RESP_LOSS(USA): Rejects the Submissions of the United States of America relating to the consumpt,"For these reasons, THE COURT, on the Submissions of the Government of the French Republic, unanimously, Rejects its Submissions relating to the Decree of December 30th, 1048, issue…"
13,Asylum-Interpretation,COL,PER,1950,1950-11-27,ICJ_013_Asylum-Interpretation_COL_PER_1950-11-27_JUD_01_ME_00_EN.txt,,False,respondent_win,auto,0.0,0.0,1,(в тексте),unknown,0,0,,"FOR THESE REASONS, THE COURT, by twelve votes to one, Declares the request for interpretation of the Judgment of November 20th, 1950, presented on the same day by the Government of…"
14,HayaDeLaTorre,COL,PER,1951,1951-06-13,ICJ_014_HayaDeLaTorre_COL_PER_1951-06-13_JUD_01_ME_00_EN.txt,,False,respondent_win,auto,1.0,0.0,1,(в тексте),unknown,0,0,APP_LOSS(COL): dismiss the Submissions of Colombia by which the Court is asked to state solely,"For these reasons, the Court cannot give effect to the abovementioned Submissions. The alternative Submission of the Government of Colombia is as follows : “In the event of the Cou…"
15,Ambatielos,GRC,GBR,1953,1952-07-01,ICJ_015_Ambatielos_GRC_GBR_1952-07-01_JUD_01_PO_00_EN.txt,13-2;10-5,False,respondent_win,auto,0.0,0.0,1,M. SPrrorouLos;M. SrrrorouLos,applicant,1,0,,"For these reasons, the Court holds that either expressly (by virtue of the United Kingdom's own instrument of ratification) or by necessary implication (from the very nature of the…"
16,AngloIranianOil,GBR,IRN,1952,1952-07-22,ICJ_016_AngloIranianOil_GBR_IRN_1952-07-22_JUD_01_PO_00_EN.txt,9-5,False,respondent_win,auto,0.0,0.0,1,M. Karim SANDJABI,respondent,0,1,,"For these reasons, THE COURT, by nine votes to five, finds that it has no jurisdiction in the present case. Done in English and French, the English text being authoritative, at the…"
17,MinquiersEcrehos,FRA,GBR,1953,1953-11-17,ICJ_017_MinquiersEcrehos_FRA_GBR_1953-11-17_JUD_01_ME_00_EN.txt,,False,applicant_win,manual,0.0,0.0,0,,unknown,0,0,,"for these reasons, sovereignty over the islets and rocks of the Minquiers group and the Ecrehos group respectively belongs, in so far as these islets and rocks are capable of appro…"
18,Nottebohm,LIE,GTM,1955,1955-04-06,ICJ_018_Nottebohm_LIE_GTM_1955-04-06_JUD_01_ME_00_EN.txt,11-3,False,respondent_win,auto,0.0,0.0,1,(в тексте),both,1,1,,"For these reasons, THE COURT, by eleven votes to three, Holds that the claim submitted by the Government of the Principality of Liechtenstein is inadmissible. 26 NOTTEBOHM CASE (JU…"
