Гипотеза,Переменная/метод,Метод,Статистика,p-value,Вывод,Примечание
H1,победа заявителя ~ 50%,биномиальный тест,39/102 = 38.2%,0.0223,значимо,(ДИ 95%: 29%..48%)
H2,ad_hoc × победа заявителя,точный тест Фишера,OR=0.48,0.2356,не значимо,"(таблица: ad hoc нет={0: np.int64(6), 1: np.int64(7)}, есть={0: np.int64(57), 1: np.int64(32)})"
H2b,«чаще против» × победа заявителя,точный тест Фишера,OR=0.98,1.0,не значимо,
H3,доля «против» ≠ 50%,биномиальный тест,215/426 = 50.5%,0.8845,не значимо,(близко к 50% — базовая проверка)
H3,тренд «против» по десятилетиям,Cochran-Armitage,z=5.10,0.0,значимо,"(периоды: [1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020])"
H4,исход × тип спора,хи-квадрат,"chi2=22.32, V=0.31",0.0341,значимо,(ячейки <5: 48%)
H4,тип(4 группы) × победа заявителя,хи-квадрат,chi2=4.96,0.2918,не значимо,
H5,gp_applicant,логистическая регрессия,coef=1.20,0.1516,не значимо,
H5,gp_respondent,логистическая регрессия,coef=0.30,0.5751,не значимо,
H6,доля побед по десятилетиям,Cochran-Armitage,z=0.56,0.5726,не значимо,"(доли: {1947: np.float64(0.36363636363636365), 1957: np.float64(0.36363636363636365), 1967: np.float64(0.5), 1977: np.float64(0.5), 1987: np.float64(0.16666666666666666), 1997: np.float64(0.25), 2007: np.float64(0.3684210526315789), 2017: np.float64(0.5789473684210527)})"
Главная,ad_hoc_present,логистическая регрессия,coef=-0.06,0.9447,не значимо,
Главная,year_c,логистическая регрессия,coef=0.19,0.0773,не значимо,
Главная,gp_applicant,логистическая регрессия,coef=1.45,0.1539,не значимо,
