caseno,outcome,note
38,applicant_win,"Оперативка: участки 91-92 Zondereygen присуждены Бельгии (10-4); единственный пункт"
51,applicant_win,"Отказ от метода равноудалённости — позиция ФРГ (обсуждаемо)"
52,applicant_win,"Отказ от метода равноудалённости — позиция ФРГ (обсуждаемо)"
63,mixed,"Только принципы справедливой делимитации; линия не проведена"
67,mixed,"Линия разграничения проведена; обе стороны получили часть"
68,mixed,"Только принципы; обе стороны частично удовлетворены"
69,mixed,"Линия границы проведена единогласно; обе стороны частично в выигрыше"
75,mixed,"Острова Гольфа Фонсеки разделены между сторонами"
76,mixed,"Приемлемость — США; по существу — Италия (обсуждаемо)"
78,applicant_win,"В тексте прямо: линия сдвинута в пользу Дании (больше морского пространства)"
83,respondent_win,"Граница проведена по линии 1919 г. — позиция Чада (оперативка захвачена неполно)"
87,mixed,"Стороны поделили острова: Зубара/Янан — Катару, Хавар — Бахрейну"
90,respondent_win,"Юрисдикция подтверждена, но по существу иски Ирана отклонены (14-2)"
92,mixed,"Классический сплит: обе стороны частично нарушили/выиграли"
94,applicant_win,"Возражения Нигерии отклонены; Bakassi — Камеруну"
102,respondent_win,"Острова Лигитан и Сипадан — Малайзии (оперативка захвачена частично)"
120,mixed,"Острова — Гондурасу; линия делимитации проведена"
124,respondent_win,"Острова Сан-Андрес и др. остались у Колумбии (13-4); делимитация вторична"
125,mixed,"Граница по фарватеру реки; обе стороны частично удовлетворены"
132,mixed,"Линия проведена; остров Змеиный у Украины, линия частично в пользу Румынии"
133,applicant_win,"Права навигации Коста-Рики подтверждены (в т.ч. единогласно)"
137,mixed,"Стартовая точка и параллель — по позиции Чили; часть пространства — Перу"
142,applicant_win,"Греция нарушила ст.11 Соглашения (15-1); прочие требования отклонены"
149,mixed,"Просьбы Буркина-Фасо отклонены (единогласно); линия проведена судом"
158,respondent_win,"Возражение Индии (нет спора) поддержано 9-7; к существу не перешли"
159,respondent_win,"Возражение Пакистана поддержано 9-7; к существу не перешли"
160,respondent_win,"Возражение Великобритании поддержано голосом президента 8-8; к существу не перешли"
163,respondent_win,"Здание на авеню Фош — не помещения миссии; основное требование отклонено"
171,applicant_win,"Юрисдикция по валидности арбитражного решения 1899 г. подтверждена (12-4)"
173,applicant_win,"Апелляция четырёх государств против решения Совета ИКАО отклонена — Катар выиграл"
174,applicant_win,"Апелляция против решения Совета ИКАО отклонена — Катар выиграл"
178,applicant_win,"Возражения Мьянмы отклонены; юрисдикция подтверждена (Гамбия)"
